epoch,g_loss,g_psnr,d_loss,learning_rate_srgan
146,3.3217345116240904,-11.581201553344727,[2.20876892e-07 1.00000000e+00],1e-04
147,3.296243672883138,-11.732211112976074,[8.19939725e-04 9.99892578e-01],1e-04
148,3.2808927386440336,-11.87562370300293,[1.39004267e-05 9.99996338e-01],1e-04
149,3.2863977928832173,-12.06519889831543,[0.00307599 0.99965576],1e-04
150,3.268329981369898,-11.773117065429688,[4.00270538e-07 1.00000000e+00],1e-04
151,3.2486527457181364,-11.733014106750488,[2.17512894e-09 1.00000000e+00],1e-04
152,3.2512277819169686,-11.824188232421875,[6.31430094e-05 9.99982300e-01],1e-04
153,3.2536368700070306,-11.723645210266113,[3.30870229e-09 1.00000000e+00],1e-04
154,3.250440895361826,-11.584063529968262,[5.82198837e-04 9.99818726e-01],1e-04
155,3.219180394727737,-11.79100513458252,[1.473435e-08 1.000000e+00],1e-04
156,3.239456106168218,-11.906646728515625,[0.00123197 0.99989288],1e-04
157,3.2506755022797735,-11.646530151367188,[4.01302009e-08 1.00000000e+00],1e-04
158,3.205637867501937,-11.564020156860352,[1.09692822e-09 1.00000000e+00],1e-04
159,3.179531483897008,-11.711899757385254,[0.0011808  0.99971527],1e-04
160,3.1902878632815557,-11.602046012878418,[1.03203128e-07 1.00000000e+00],1e-04
161,3.160229964973405,-11.641069412231445,[3.87803994e-04 9.99901428e-01],1e-04
162,3.163847616636194,-11.653444290161133,[0.0018387  0.99966461],1e-04
163,3.1562441840721296,-11.585158348083496,[9.67712465e-08 1.00000000e+00],1e-04
164,3.1409418831532823,-11.6689453125,[1.39867252e-09 1.00000000e+00],1e-04
165,3.1277190351765602,-11.594789505004883,[3.60057842e-10 1.00000000e+00],1e-04
166,3.1169363665068524,-11.605987548828125,[2.48069874e-10 1.00000000e+00],1e-04
167,3.134525385205634,-11.805582046508789,[1.98436664e-10 1.00000000e+00],1e-04
168,3.125084826652892,-11.351032257080078,[1.83693271e-10 1.00000000e+00],1e-04
169,3.1019888031110168,-11.409956932067871,[1.77812717e-10 1.00000000e+00],1e-04
170,3.120854895892553,-11.633405685424805,[1.64280821e-10 1.00000000e+00],1e-04



